user,timestamp,hours,project
jaime,2018-11-26 12:11:58.0359 UTC,0.57,opsandadmin
jaime,26 ноября 2018 12:11,1.8,learning
jaime,2018-11-26 12:11:58.0359 UTC,0.07,opsandadmin
ned,2018-11-26 12:08:09.0357 UTC,1.0,project-66
ned,2018-11-26 12:08:09.0357 UTC,1.5,cultureandmanagement
ned,2018-11-26 12:08:09.0357 UTC,0.5,learning
ned,2018-11-26 12:08:09.0357 UTC,2.5,events
ned,2018-11-26 12:08:09.0357 UTC,0.5,cultureandmanagement
ned,2018-11-26 12:08:09.0357 UTC,1.5,transit
jon,2018-11-26 11:49:04.0334 UTC,2.5,project-25
jon,2018-11-26 11:49:04.0334 UTC,1.0,project-25
jon,2018-11-26 11:49:04.0334 UTC,1.75,project-25
jon,2018-11-26 11:49:04.0334 UTC,0.5,project-25
jon,2018-11-26 11:49:04.0334 UTC,0.75,project-25
jon,2018-11-26 11:49:04.0334 UTC,2.0,project-25
sansa,2018-11-26 11:48:33.0332 UTC,1.0,project-32
sansa,11/26/2018 11:48 AM,2.0,transit
sansa,2018-11-26 11:48:33.0332 UTC,2.5,project-51
sansa,2018-11-26 11:48:33.0332 UTC,1.0,project-31
sansa,2018-11-26 11:48:33.0332 UTC,2.0,bizdev
sansa,2018-11-26 11:48:33.0332 UTC,0.5,products
arya,2018-11-26 11:39:16.0286 UTC,6.0,project-32
arya,2018-11-26 11:39:16.0286 UTC,1.0,learning
arya,2018-11-26 11:39:16.0286 UTC,0.5,project-32
robb,2018-11-26 11:31:06.0258 UTC,0.5,bizdev
robb,2018-11-26 11:31:06.0258 UTC,8.0,project-00
theon,2018-11-26 09:00:55.0212 UTC,1.0,project-43
theon,2018-11-26 09:00:55.0212 UTC,0.5,bizdev
theon,2018-11-26 09:00:55.0212 UTC,1.0,opsandadmin
theon,2018-11-26 09:00:55.0212 UTC,5.5,events
bran,2018-11-26 00:00:00 UTC,4.37,project-31
bran,2018-11-26 00:00:00 UTC,1.08,learning
bran,2018-11-26 00:00:00 UTC,0.92,bizdev
bran,2018-11-26 00:00:00 UTC,1.0,learning
bran,2018-11-26 00:00:00 UTC,0.5,project-31
joffrey,2018-11-25 00:00:00 UTC,5.0,project-32
theon,2018-11-25 00:00:00 UTC,5.0,events
cersei,2018-11-24 08:53:46.0158 UTC,2.0,blogideas
hound,2018-11-24 00:00:00 UTC,4.0,finance
catelyn,2018-11-23 13:12:16.0135 UTC,0.93,project-32
catelyn,2018-11-23 13:12:16.0135 UTC,0.95,opsandadmin
catelyn,2018-11-23 13:12:16.0135 UTC,0.18,project-32
catelyn,23 ноября 2018 13:12,2.37,project-40
catelyn,2018-11-23 13:12:16.0135 UTC,1.1,engineering
catelyn,2018-11-23 13:12:16.0135 UTC,1.18,project-09
arya,2018-11-23 13:10:44.0133 UTC,2.5,project-32
arya,2018-11-23 13:10:44.0133 UTC,3.0,project-32
arya,2018-11-23 13:10:44.0133 UTC,1.5,project-26
arya,2018-11-23 13:10:44.0133 UTC,1.0,project-32
viserys,2018-11-23 10:27:17.0107 UTC,0.64,project-64
viserys,2018-11-23 10:27:17.0107 UTC,0.27,opsandadmin
viserys,2018-11-23 10:27:17.0107 UTC,3.98,project-51
viserys,2018-11-23 10:27:17.0107 UTC,1.89,blogideas
viserys,2018-11-23 10:27:17.0107 UTC,0.88,project-65
ned,2018-11-23 10:22:27.0102 UTC,1.0,project-66
ned,2018-11-23 10:22:27.0102 UTC,1.0,project-28
ned,2018-11-23 10:22:27.0102 UTC,1.5,cultureandmanagement
ned,2018-11-23 10:22:27.0102 UTC,1.0,learning
jon,2018-11-23 10:21:37.0093 UTC,0.25,project-27
jon,2018-11-23 10:21:37.0093 UTC,6.25,project-25
jon,2018-11-23 10:21:37.0093 UTC,1.5,blogideas
tyrion,2018-11-23 00:00:00 UTC,3.08,project-43
sansa,2018-11-23 00:00:00 UTC,2.0,project-32
tyrion,2018-11-23 00:00:00 UTC,0.25,blogideas
tyrion,2018-11-23 00:00:00 UTC,3.42,website
robb,2018-11-23 00:00:00 UTC,1.0,events
theon,2018-11-23 00:00:00 UTC,4.0,blogideas
cersei,23 ноября 2018 00:00,5.5,blogideas
cersei,2018-11-23 00:00:00 UTC,0.5,project-10
theon,2018-11-23 00:00:00 UTC,1.0,project-43
bran,2018-11-23 00:00:00 UTC,1.5,bizdev
joffrey,23 ноября 2018 00:00,1.0,project-32
joffrey,2018-11-23 00:00:00 UTC,0.5,project-25
joffrey,2018-11-23 00:00:00 UTC,1.2,cultureandmanagement
joffrey,2018-11-23 00:00:00 UTC,0.5,project-32
joffrey,2018-11-23 00:00:00 UTC,0.5,bizdev
joffrey,2018-11-23 00:00:00 UTC,3.5,project-32
bran,2018-11-23 00:00:00 UTC,0.5,bizdev
bran,2018-11-23 00:00:00 UTC,1.1,project-31
bran,2018-11-23 00:00:00 UTC,0.4,bizdev
bran,2018-11-23 00:00:00 UTC,0.78,bizdev
bran,23 ноября 2018 00:00,1.78,project-31
bran,2018-11-23 00:00:00 UTC,1.13,project-31
bran,2018-11-23 00:00:00 UTC,1.8,bizdev
khal,2018-11-23 00:00:00 UTC,2.0,project-25
khal,2018-11-23 00:00:00 UTC,5.0,project-10
littlefinger,2018-11-23 00:00:00 UTC,10.0,events
hound,2018-11-23 00:00:00 UTC,3.5,finance
littlefinger,2018-11-23 00:00:00 UTC,3.5,opsandadmin
robb,2018-11-23 00:00:00 UTC,6.0,project-00
sansa,23 ноября 2018 00:00,2.0,project-31
sansa,23 ноября 2018 00:00,1.0,project-51
sansa,2018-11-23 00:00:00 UTC,1.0,project-09
sansa,2018-11-23 00:00:00 UTC,2.0,bizdev
hound,2018-11-23 00:00:00 UTC,0.5,opsandadmin
tyrion,2018-11-23 00:00:00 UTC,1.58,blogideas
hound,2018-11-23 00:00:00 UTC,0.5,marketing
hound,2018-11-23 00:00:00 UTC,0.5,blog-ideas
hound,2018-11-23 00:00:00 UTC,1.0,marketing
hound,2018-11-23 00:00:00 UTC,1.5,events
ned,2018-11-22 15:46:48.0514 UTC,0.5,opsandadmin
ned,2018-11-22 15:46:48.0514 UTC,2.0,cultureandmanagement
ned,2018-11-22 15:46:48.0514 UTC,2.0,hiring
ned,2018-11-22 15:46:48.0514 UTC,1.5,project-31
ned,2018-11-22 15:46:48.0514 UTC,1.0,cultureandmanagement
ned,2018-11-22 15:46:48.0514 UTC,1.0,project-66
ned,22 ноября 2018 15:46,2.0,cultureandmanagement
theon,2018-11-22 15:45:27.0511 UTC,4.0,blogideas
theon,2018-11-22 15:45:27.0511 UTC,3.0,project-43
robb,2018-11-22 15:38:53.0494 UTC,9.0,project-00
viserys,2018-11-22 15:31:05.0486 UTC,3.42,project-51
viserys,2018-11-22 15:31:05.0486 UTC,3.86,blogideas
viserys,2018-11-22 15:31:05.0486 UTC,0.28,opsandadmin
jaime,2018-11-22 15:27:30.0483 UTC,2.0,project-26
jaime,2018-11-22 15:27:30.0483 UTC,0.5,opsandadmin
jaime,2018-11-22 15:27:30.0483 UTC,0.5,project-00
jaime,2018-11-22 15:27:30.0483 UTC,1.0,project-00
jaime,2018-11-22 15:27:30.0483 UTC,0.75,project-00
jaime,2018-11-22 15:27:30.0483 UTC,3.25,project-46
joffrey,2018-11-22 14:12:32.0431 UTC,1.0,project-32
joffrey,2018-11-22 14:12:32.0431 UTC,2.0,project-25
joffrey,22 ноября 2018 14:12,2.0,bizdev
joffrey,22 ноября 2018 14:12,1.5,project-32
joffrey,2018-11-22 14:12:32.0431 UTC,2.0,project-25
jon,2018-11-22 11:36:11.042 UTC,0.5,project-27
jon,2018-11-22 11:36:11.042 UTC,1.75,project-25
jon,2018-11-22 11:36:11.042 UTC,1.5,project-25
jon,2018-11-22 11:36:11.042 UTC,1.0,project-25
jon,2018-11-22 11:36:11.042 UTC,2.25,project-25
jon,2018-11-22 11:36:11.042 UTC,1.0,project-25
jon,2018-11-22 11:36:11.042 UTC,0.75,project-25
jon,2018-11-22 11:36:11.042 UTC,1.0,project-25
jon,2018-11-22 11:36:11.042 UTC,1.75,project-25
jon,2018-11-22 11:36:11.042 UTC,0.5,project-25
davos,2018-11-22 10:58:01.0395 UTC,1.0,cultureandmanagement
davos,2018-11-22 10:58:01.0395 UTC,1.0,cultureandmanagement
davos,2018-11-22 10:58:01.0395 UTC,3.0,project-65
davos,2018-11-22 10:58:01.0395 UTC,2.0,project-06
davos,2018-11-22 10:58:01.0395 UTC,1.0,project-51
samwell,2018-11-22 10:25:18.0393 UTC,7.5,project-26
bran,2018-11-22 00:00:00 UTC,1.08,bizdev
bran,2018-11-22 00:00:00 UTC,1.02,project-31
bran,2018-11-22 00:00:00 UTC,1.25,project-31
bran,2018-11-22 00:00:00 UTC,1.0,project-31
bran,2018-11-22 00:00:00 UTC,2.98,bizdev
stannis,2018-11-22 00:00:00 UTC,3.03,website
jorah,2018-11-22 00:00:00 UTC,1.0,opsandadmin
stannis,2018-11-22 00:00:00 UTC,0.25,website
stannis,11/22/2018 12:00 AM,0.6,project-10
stannis,2018-11-22 00:00:00 UTC,1.6,learning
stannis,2018-11-22 00:00:00 UTC,0.93,learning
stannis,2018-11-22 00:00:00 UTC,0.83,project-00
catelyn,2018-11-22 00:00:00 UTC,4.7,project-09
catelyn,11/22/2018 12:00 AM,1.42,opsandadmin
jorah,2018-11-22 00:00:00 UTC,1.0,bizdev
jorah,2018-11-22 00:00:00 UTC,1.0,pm
jorah,2018-11-22 00:00:00 UTC,0.25,blogideas
jorah,2018-11-22 00:00:00 UTC,1.0,cultureandmanagement
jorah,2018-11-22 00:00:00 UTC,1.0,cultureandmanagement
jorah,2018-11-22 00:00:00 UTC,1.0,project-07
jorah,2018-11-22 00:00:00 UTC,0.5,transit
arya,2018-11-22 00:00:00 UTC,6.0,project-32
robert,2018-11-22 00:00:00 UTC,0.5,project-30
robert,2018-11-22 00:00:00 UTC,1.0,project-30
daenerys,2018-11-22 00:00:00 UTC,4.0,blogideas
robert,2018-11-22 00:00:00 UTC,1.5,bizdev
robert,2018-11-22 00:00:00 UTC,2.0,bizdev
robert,2018-11-22 00:00:00 UTC,1.0,bizdev
robert,2018-11-22 00:00:00 UTC,0.5,cultureandmanagement
robert,2018-11-22 00:00:00 UTC,0.5,opsandadmin
robert,11/22/2018 12:00 AM,2.0,transit
robert,2018-11-22 00:00:00 UTC,4.0,events
daenerys,2018-11-22 00:00:00 UTC,1.0,cultureandmanagement
arya,2018-11-22 00:00:00 UTC,2.0,project-26
robert,2018-11-22 00:00:00 UTC,1.0,legal
tyrion,2018-11-22 00:00:00 UTC,3.0,project-43
tyrion,2018-11-22 00:00:00 UTC,2.5,blogideas
daenerys,2018-11-22 00:00:00 UTC,2.0,project-51
daenerys,2018-11-22 00:00:00 UTC,3.0,blogideas
daenerys,2018-11-22 00:00:00 UTC,3.0,project-51
hound,2018-11-22 00:00:00 UTC,0.5,opsandadmin
hound,2018-11-22 00:00:00 UTC,1.0,finance
hound,2018-11-22 00:00:00 UTC,1.0,opsandadmin
hound,2018-11-22 00:00:00 UTC,1.5,finance
hound,2018-11-22 00:00:00 UTC,0.75,opsandadmin
hound,2018-11-22 00:00:00 UTC,0.5,blog-ideas
hound,2018-11-22 00:00:00 UTC,2.0,finance
robert,2018-11-22 00:00:00 UTC,0.5,project-33
cersei,2018-11-22 00:00:00 UTC,8.0,blogideas
littlefinger,2018-11-22 00:00:00 UTC,4.0,hiring
littlefinger,2018-11-22 00:00:00 UTC,3.0,events
littlefinger,2018-11-22 00:00:00 UTC,4.0,opsandadmin
sansa,2018-11-22 00:00:00 UTC,2.0,bizdev
sansa,22 ноября 2018 00:00,4.0,events
sansa,2018-11-22 00:00:00 UTC,1.0,transit
sansa,22 ноября 2018 00:00,2.0,project-31
melisandre,2018-11-22 00:00:00 UTC,3.45,project-43
melisandre,2018-11-22 00:00:00 UTC,4.0,project-43
melisandre,2018-11-22 00:00:00 UTC,0.58,opsandadmin
melisandre,2018-11-22 00:00:00 UTC,6.0,learning
melisandre,2018-11-22 00:00:00 UTC,2.0,project-43
robert,2018-11-22 00:00:00 UTC,1.5,strategy
daenerys,2018-11-21 14:49:08.0297 UTC,1.0,blogideas
daenerys,2018-11-21 14:49:08.0297 UTC,1.0,project-51
daenerys,21 ноября 2018 14:49,5.0,project-51
cersei,2018-11-21 14:44:45.0288 UTC,6.5,blogideas
cersei,2018-11-21 14:44:45.0288 UTC,1.5,learning
tyrion,2018-11-21 14:25:19.0281 UTC,2.13,bizdev
tyrion,2018-11-21 14:25:19.0281 UTC,1.12,learning
tyrion,11/21/2018 02:25 PM,0.95,website
tyrion,2018-11-21 14:25:19.0281 UTC,0.2,blogideas
tyrion,2018-11-21 14:25:19.0281 UTC,3.37,bizdev
tyrion,2018-11-21 14:25:19.0281 UTC,0.93,bizdev
tyrion,2018-11-21 14:25:19.0281 UTC,0.4,project-43
theon,2018-11-21 14:23:11.0277 UTC,5.5,project-43
theon,2018-11-21 14:23:11.0277 UTC,0.5,blogideas
theon,2018-11-21 14:23:11.0277 UTC,1.0,learning
khal,2018-11-21 13:48:32.0274 UTC,7.0,project-05
khal,2018-11-21 13:48:32.0274 UTC,1.0,project-25
jeor,2018-11-21 10:14:21.0267 UTC,7.0,project-05
jeor,21 ноября 2018 10:14,1.5,bizdev
viserys,2018-11-21 10:04:09.0264 UTC,0.47,blogideas
viserys,2018-11-21 10:04:09.0264 UTC,0.52,project-51
viserys,2018-11-21 10:04:09.0264 UTC,3.49,project-51
viserys,2018-11-21 10:04:09.0264 UTC,1.58,learning
viserys,2018-11-21 10:04:09.0264 UTC,1.12,project-64
viserys,2018-11-21 10:04:09.0264 UTC,0.27,opsandadmin
jorah,2018-11-21 00:00:00 UTC,0.25,project-25
melisandre,2018-11-21 00:00:00 UTC,2.77,project-62
melisandre,2018-11-21 00:00:00 UTC,0.5,project-62
catelyn,2018-11-21 00:00:00 UTC,1.0,opsandadmin
catelyn,2018-11-21 00:00:00 UTC,2.0,cultureandmanagement
catelyn,2018-11-21 00:00:00 UTC,3.0,project-09
stannis,2018-11-21 00:00:00 UTC,5.4,learning
melisandre,2018-11-21 00:00:00 UTC,0.43,opsandadmin
jorah,2018-11-21 00:00:00 UTC,1.25,project-25
jorah,2018-11-21 00:00:00 UTC,0.5,events
hound,2018-11-21 00:00:00 UTC,1.0,opsandadmin
joffrey,2018-11-21 00:00:00 UTC,1.75,bizdev
joffrey,2018-11-21 00:00:00 UTC,1.0,learning
joffrey,2018-11-21 00:00:00 UTC,2.75,project-32
joffrey,2018-11-21 00:00:00 UTC,1.5,project-25
bran,2018-11-21 00:00:00 UTC,8.1,project-31
sansa,2018-11-21 00:00:00 UTC,2.0,project-32
sansa,2018-11-21 00:00:00 UTC,1.0,project-51
sansa,2018-11-21 00:00:00 UTC,1.0,project-62
melisandre,2018-11-21 00:00:00 UTC,1.17,learning
melisandre,2018-11-21 00:00:00 UTC,0.95,learning
melisandre,2018-11-21 00:00:00 UTC,0.47,cultureandmanagement
melisandre,2018-11-21 00:00:00 UTC,0.78,project-43
melisandre,2018-11-21 00:00:00 UTC,0.28,opsandadmin
sansa,11/21/2018 12:00 AM,1.5,learning
robert,2018-11-21 00:00:00 UTC,2.0,transit
robert,2018-11-21 00:00:00 UTC,1.5,bizdev
robb,2018-11-21 00:00:00 UTC,5.5,project-00
robb,2018-11-21 00:00:00 UTC,1.5,learning
sansa,2018-11-21 00:00:00 UTC,1.0,website
littlefinger,2018-11-21 00:00:00 UTC,4.5,hiring
littlefinger,2018-11-21 00:00:00 UTC,2.0,events
littlefinger,2018-11-21 00:00:00 UTC,3.0,opsandadmin
jorah,2018-11-21 00:00:00 UTC,1.0,cultureandmanagement
jorah,2018-11-21 00:00:00 UTC,2.0,bizdev
sansa,2018-11-21 00:00:00 UTC,1.0,bizdev
sansa,2018-11-21 00:00:00 UTC,2.0,project-31
stannis,2018-11-21 00:00:00 UTC,1.57,learning
arya,2018-11-21 00:00:00 UTC,6.0,project-32
hound,2018-11-21 00:00:00 UTC,2.0,finance
hound,2018-11-21 00:00:00 UTC,0.5,opsandadmin
jaime,2018-11-21 00:00:00 UTC,6.0,project-26
jaime,2018-11-21 00:00:00 UTC,1.0,project-00
hound,2018-11-21 00:00:00 UTC,1.5,opsandadmin
robert,2018-11-21 00:00:00 UTC,2.0,bizdev
robert,2018-11-21 00:00:00 UTC,0.5,legal
jorah,11/21/2018 12:00 AM,0.75,blogideas
jorah,21 ноября 2018 00:00,0.5,project-65
hound,2018-11-21 00:00:00 UTC,1.5,finance
hound,2018-11-21 00:00:00 UTC,1.0,opsandadmin
jorah,2018-11-21 00:00:00 UTC,1.5,blogideas
robert,2018-11-21 00:00:00 UTC,2.0,opsandadmin
theon,2018-11-20 15:50:29.0175 UTC,8.0,project-43
jorah,20 ноября 2018 15:18,1.5,products
jeor,2018-11-20 15:04:06.0165 UTC,3.0,bizdev
jeor,2018-11-20 15:04:06.0165 UTC,3.5,project-05
jeor,2018-11-20 15:04:06.0165 UTC,1.5,project-30
jeor,2018-11-20 15:04:06.0165 UTC,1.0,datastrategy
khal,2018-11-20 12:41:25.0153 UTC,5.0,project-25
khal,2018-11-20 12:41:25.0153 UTC,3.0,project-05
viserys,2018-11-20 12:29:30.0141 UTC,0.98,blogideas
viserys,2018-11-20 12:29:30.0141 UTC,1.4,learning
viserys,11/20/2018 12:29 PM,0.81,learning
viserys,2018-11-20 12:29:30.0141 UTC,0.14,project-65
viserys,2018-11-20 12:29:30.0141 UTC,3.21,blogideas
viserys,2018-11-20 12:29:30.0141 UTC,0.27,project-65
viserys,2018-11-20 12:29:30.0141 UTC,0.13,opsandadmin
viserys,2018-11-20 12:29:30.0141 UTC,0.45,project-51
ned,2018-11-20 12:00:17.0139 UTC,3.0,cultureandmanagement
ned,2018-11-20 12:00:17.0139 UTC,2.5,bizdev
ned,2018-11-20 12:00:17.0139 UTC,2.0,bizdev
cersei,2018-11-20 11:52:15.0128 UTC,8.0,blogideas
robb,2018-11-20 10:40:42.0124 UTC,1.0,events
robb,2018-11-20 10:40:42.0124 UTC,6.0,project-00
jorah,2018-11-20 10:39:49.0122 UTC,1.25,blogideas
jorah,2018-11-20 10:39:49.0122 UTC,0.5,project-43
jorah,11/20/2018 10:39 AM,2.25,products
jorah,2018-11-20 10:39:49.0122 UTC,0.25,project-43
jorah,2018-11-20 10:39:49.0122 UTC,0.5,cultureandmanagement
jorah,2018-11-20 10:39:49.0122 UTC,1.0,hiring
jorah,2018-11-20 10:39:49.0122 UTC,0.5,transit
daenerys,2018-11-20 10:26:32.0074 UTC,3.0,project-51
daenerys,2018-11-20 10:26:32.0074 UTC,3.0,learning
jaime,2018-11-20 08:33:45.0068 UTC,0.5,project-00
jaime,2018-11-20 08:33:45.0068 UTC,3.5,project-26
jaime,2018-11-20 08:33:45.0068 UTC,0.25,opsandadmin
jaime,2018-11-20 08:33:45.0068 UTC,3.0,project-00
jon,2018-11-20 00:00:00 UTC,0.25,project-27
davos,11/20/2018 12:00 AM,0.75,project-64
davos,2018-11-20 00:00:00 UTC,1.0,project-64
davos,2018-11-20 00:00:00 UTC,0.5,project-65
davos,2018-11-20 00:00:00 UTC,0.25,blogideas
davos,2018-11-20 00:00:00 UTC,4.5,project-65
joffrey,2018-11-20 00:00:00 UTC,1.5,project-25
stannis,2018-11-20 00:00:00 UTC,3.11,blogideas
stannis,2018-11-20 00:00:00 UTC,2.6,blogideas
stannis,2018-11-20 00:00:00 UTC,0.77,project-22
catelyn,2018-11-20 00:00:00 UTC,1.0,opsandadmin
catelyn,2018-11-20 00:00:00 UTC,1.0,engineering
catelyn,2018-11-20 00:00:00 UTC,1.0,project-43
catelyn,2018-11-20 00:00:00 UTC,3.0,project-09
jon,2018-11-20 00:00:00 UTC,0.5,project-25
jon,2018-11-20 00:00:00 UTC,4.75,project-25
davos,2018-11-20 00:00:00 UTC,0.5,project-65
jon,2018-11-20 00:00:00 UTC,0.75,project-27
jon,2018-11-20 00:00:00 UTC,2.0,project-25
jon,2018-11-20 00:00:00 UTC,0.75,project-25
jon,2018-11-20 00:00:00 UTC,1.0,project-25
jon,2018-11-20 00:00:00 UTC,0.5,project-25
jon,11/20/2018 12:00 AM,2.25,project-25
littlefinger,2018-11-20 00:00:00 UTC,2.75,hiring
littlefinger,2018-11-20 00:00:00 UTC,2.75,opsandadmin
littlefinger,2018-11-20 00:00:00 UTC,0.5,events
hound,2018-11-20 00:00:00 UTC,2.5,opsandadmin
hound,2018-11-20 00:00:00 UTC,1.5,finance
hound,20 ноября 2018 00:00,0.5,finance
hound,2018-11-20 00:00:00 UTC,0.5,marketing
hound,2018-11-20 00:00:00 UTC,1.0,opsandadmin
hound,2018-11-20 00:00:00 UTC,2.0,finance
tyrion,20 ноября 2018 00:00,0.87,learning
sansa,2018-11-20 00:00:00 UTC,1.0,project-62
sansa,2018-11-20 00:00:00 UTC,2.0,products
sansa,2018-11-20 00:00:00 UTC,1.0,bizdev
bran,2018-11-20 00:00:00 UTC,3.0,bizdev
bran,11/20/2018 12:00 AM,3.1,project-25
bran,2018-11-20 00:00:00 UTC,0.58,cultureandmanagement
bran,11/20/2018 12:00 AM,4.5,bizdev
tyrion,2018-11-20 00:00:00 UTC,1.65,website
tyrion,2018-11-20 00:00:00 UTC,1.98,website
tyrion,11/20/2018 12:00 AM,0.78,datastrategy
sansa,2018-11-20 00:00:00 UTC,1.5,transit
tyrion,20 ноября 2018 00:00,0.48,website
tyrion,2018-11-20 00:00:00 UTC,1.33,datastrategy
tyrion,2018-11-20 00:00:00 UTC,0.28,project-43
tyrion,2018-11-20 00:00:00 UTC,0.28,website
tyrion,2018-11-20 00:00:00 UTC,1.08,learning
joffrey,2018-11-20 00:00:00 UTC,3.0,bizdev
joffrey,2018-11-20 00:00:00 UTC,1.5,project-25
joffrey,2018-11-20 00:00:00 UTC,1.0,project-25
joffrey,2018-11-20 00:00:00 UTC,0.5,bizdev
sansa,2018-11-20 00:00:00 UTC,2.0,datastrategy
joffrey,2018-11-20 00:00:00 UTC,0.25,project-25
joffrey,2018-11-20 00:00:00 UTC,0.5,project-25
joffrey,2018-11-20 00:00:00 UTC,2.5,project-25
sansa,2018-11-20 00:00:00 UTC,3.0,project-32
sansa,2018-11-20 00:00:00 UTC,1.0,project-09
arya,2018-11-20 00:00:00 UTC,8.0,project-32
ned,2018-11-19 16:40:23.0133 UTC,1.0,bizdev
ned,2018-11-19 16:40:23.0133 UTC,1.0,opsandadmin
jeor,2018-11-19 14:40:38.0115 UTC,0.5,project-64
jeor,2018-11-19 14:40:38.0115 UTC,1.0,project-05
jeor,2018-11-19 14:40:38.0115 UTC,1.0,opsandadmin
jeor,2018-11-19 14:40:38.0115 UTC,5.5,project-70
jeor,2018-11-19 14:40:38.0115 UTC,0.5,datastrategy
davos,2018-11-19 14:39:37.0113 UTC,1.0,project-64
davos,2018-11-19 14:39:37.0113 UTC,0.5,opsandadmin
davos,19 ноября 2018 14:39,1.0,project-51
davos,19 ноября 2018 14:39,1.0,project-64
davos,2018-11-19 14:39:37.0113 UTC,2.0,project-65
davos,2018-11-19 14:39:37.0113 UTC,0.5,project-65
davos,2018-11-19 14:39:37.0113 UTC,1.0,opsandadmin
ned,2018-11-19 14:28:17.011 UTC,2.0,cultureandmanagement
ned,2018-11-19 14:28:17.011 UTC,1.5,opsandadmin
ned,2018-11-19 14:28:17.011 UTC,2.0,bizdev
ned,2018-11-19 14:28:17.011 UTC,1.5,opsandadmin
cersei,2018-11-19 13:38:53.0089 UTC,1.0,opsandadmin
cersei,2018-11-19 13:38:53.0089 UTC,7.0,blogideas
cersei,19 ноября 2018 13:38,0.5,project-10
catelyn,19 ноября 2018 13:29,0.17,project-00
catelyn,2018-11-19 13:29:38.0079 UTC,0.17,project-32
catelyn,2018-11-19 13:29:38.0079 UTC,0.92,opsandadmin
catelyn,2018-11-19 13:29:38.0079 UTC,0.18,cultureandmanagement
catelyn,19 ноября 2018 13:29,0.33,opsandadmin
catelyn,2018-11-19 13:29:38.0079 UTC,0.12,opsandadmin
catelyn,2018-11-19 13:29:38.0079 UTC,0.52,opsandadmin
catelyn,2018-11-19 13:29:38.0079 UTC,0.32,cultureandmanagement
catelyn,2018-11-19 13:29:38.0079 UTC,0.2,security
catelyn,2018-11-19 13:29:38.0079 UTC,0.57,opsandadmin
catelyn,2018-11-19 13:29:38.0079 UTC,0.08,opsandadmin
catelyn,2018-11-19 13:29:38.0079 UTC,0.63,cultureandmanagement
catelyn,2018-11-19 13:29:38.0079 UTC,0.73,engineering
catelyn,2018-11-19 13:29:38.0079 UTC,0.28,marketing
